index,time,normalized_flux,anomaly_score,is_anomaly
0,1712620800.0,-0.4109710385218705,1.5257383584976196,1
1,1714867200.0,-0.3876008200546065,1.5285801887512207,1
2,1715731200.0,-0.42382465867886565,1.4762457609176636,0
3,1715990400.0,-0.3876008200546065,1.4810948371887207,0
4,1716508800.0,-0.32917527388644646,1.4891440868377686,0
5,1716768000.0,-0.23569440001739042,1.4999529123306274,0
6,1717200000.0,-0.24737950925102242,1.5043516159057617,1
7,1717372800.0,-0.42966721329568164,1.5380834341049194,1
8,1718668800.0,0.9550182308897108,1.5654518604278564,1
9,1719532800.0,-0.3876008200546065,1.578338861465454,1
10,1720742400.0,-0.23569440001739042,1.586330771446228,1
11,1720828800.0,1.2132591449529782,1.5947927236557007,1
12,1721433600.0,5.4198984690605,1.5964902639389038,1
13,1722297600.0,-0.42849870237231846,1.5361508131027222,1
14,1724112000.0,-0.31749016465281443,1.4831039905548096,0
15,1724544000.0,-0.43200423514240804,1.434033989906311,0
16,1725408000.0,-0.30580505541918246,1.3918746709823608,0
17,1725580800.0,-0.4507004099162193,1.3583078384399414,0
18,1727049600.0,-0.32917527388644646,1.328634262084961,0
19,1727481600.0,-0.16558374461559838,1.3006172180175781,0
20,1728086400.0,-0.42849870237231846,1.2803785800933838,0
21,1729555200.0,-0.3642306015873425,1.258910059928894,0
22,1731196800.0,-0.32917527388644646,1.2387231588363647,0
23,1732838400.0,-0.20648162693331043,1.2213138341903687,0
24,1733011200.0,-0.09547308921380636,1.2035260200500488,0
25,1734652800.0,3.433429899343059,1.185141682624817,0
26,1735344000.0,-0.4109710385218705,1.1571515798568726,0
27,1736467200.0,-0.42849870237231846,1.1326462030410767,0
28,1736553600.0,-0.4226561477555025,1.1069080829620361,0
29,1738454400.0,-0.3876008200546065,1.0836718082427979,0
30,1738800000.0,-0.4542059426863089,1.0836718082427979,0
31,1738886400.0,-0.43901530068258726,1.0836718082427979,0
32,1739318400.0,-0.3876008200546065,1.0684281587600708,0
33,1740182400.0,-0.18895396308286241,1.051892638206482,0
34,1741824000.0,1.5638124219619385,1.0400525331497192,0
35,1742256000.0,-0.15389863538196638,1.0225298404693604,0
36,1742515200.0,-0.3876008200546065,1.002577304840088,0
37,1742774400.0,-0.3525454923537105,0.9796015620231628,0
38,1743033600.0,2.2649189759798585,0.9556388258934021,0
39,1743206400.0,-0.31749016465281443,0.9184312224388123,0
40,1744070400.0,-0.4507004099162193,0.8771946430206299,0
41,1745193600.0,-0.4436893443760401,0.836338222026825,0
42,1745798400.0,-0.3992859292882385,0.7926586270332336,0
43,1748649600.0,0.629003683271378,0.7429244518280029,0
44,1750464000.0,-0.4226561477555025,0.6915165185928345,0
45,1750896000.0,0.47709726323416185,0.6877527236938477,0
46,1752192000.0,-0.4109710385218705,0.6842397451400757,0
47,1754956800.0,-0.3642306015873425,0.6832579374313354,0
48,1755561600.0,1.3301102372892983,0.6806374192237854,0
49,1757289600.0,-0.3992859292882385,0.6717178225517273,0
50,1757376000.0,-0.025362433812014338,0.6605549454689026,0
51,1757462400.0,-0.4249931696022289,0.6497812271118164,0
52,1757721600.0,0.021378003122513655,0.624689519405365,0
53,1760918400.0,-0.4542059426863089,0.6017670631408691,0
54,1762819200.0,-0.2123241815501264,0.5742174386978149,0
55,1763164800.0,-0.16558374461559838,0.5331041216850281,0
56,1765843200.0,-0.20063907231649444,0.48440074920654297,0
57,1769731200.0,-0.3992859292882385,0.42411836981773376,0
58,1769817600.0,-0.31749016465281443,0.42235490679740906,0
59,1770681600.0,-0.4507004099162193,0.39803099632263184,0
60,1773705600.0,-0.10715819844743837,0.4098203480243683,0
