index,time,normalized_flux,anomaly_score,is_anomaly
0,1710633600.0,-0.4054640725603675,1.361607313156128,0
1,1712620800.0,-0.4054640725603675,1.3948559761047363,0
2,1714867200.0,-0.3821241570878919,1.4165282249450684,0
3,1715731200.0,-0.41830102607022907,1.4224172830581665,0
4,1715990400.0,-0.3821241570878919,1.4319603443145752,0
5,1716508800.0,-0.3237743684067028,1.439827561378479,0
6,1716768000.0,-0.2304147065168003,1.454120397567749,0
7,1717200000.0,-0.24208466425303812,1.4569401741027832,0
8,1717372800.0,-0.42413600493834797,1.485615849494934,0
9,1718668800.0,0.9587539868058325,1.5076165199279785,0
10,1719532800.0,-0.3821241570878919,1.5204516649246216,1
11,1720742400.0,-0.2304147065168003,1.5307048559188843,1
12,1720828800.0,1.2166600527766882,1.5496913194656372,1
13,1721433600.0,5.4178448378223,1.5560200214385986,1
14,1722297600.0,-0.4229690091647242,1.498836874961853,0
15,1724112000.0,-0.312104410670465,1.4521652460098267,0
16,1724544000.0,-0.4264699964855955,1.409455418586731,0
17,1725408000.0,-0.30043445293422716,1.3730425834655762,0
18,1725580800.0,-0.445141928863576,1.3421591520309448,0
19,1727049600.0,-0.3237743684067028,1.3148605823516846,0
20,1727481600.0,-0.16039496009937343,1.2902895212173462,0
21,1728086400.0,-0.4229690091647242,1.2686166763305664,0
22,1729555200.0,-0.3587842416154163,1.2492793798446655,0
23,1731196800.0,-0.3237743684067028,1.228867769241333,0
24,1732838400.0,-0.20123981217620582,1.210601806640625,0
25,1733011200.0,-0.09037521368194658,1.1947356462478638,0
26,1734652800.0,3.433952022661872,1.180152416229248,0
27,1735344000.0,-0.4054640725603675,1.153605341911316,0
28,1736467200.0,-0.4229690091647242,1.1287628412246704,0
29,1736553600.0,-0.41713403029660523,1.1065495014190674,0
30,1738454400.0,-0.3821241570878919,1.1065495014190674,0
31,1738800000.0,-0.44864291618444735,1.1065495014190674,0
32,1738886400.0,-0.4334719711273382,1.0977541208267212,0
33,1739318400.0,-0.3821241570878919,1.0859558582305908,0
34,1740182400.0,-0.1837348755718491,1.072107195854187,0
35,1741824000.0,1.5667587848638227,1.0579540729522705,0
36,1742256000.0,-0.14872500236313563,1.0414669513702393,0
37,1742515200.0,-0.3821241570878919,1.023229718208313,0
38,1742774400.0,-0.3471142838791785,1.0007667541503906,0
39,1743033600.0,2.266956249038091,0.9791345000267029,0
40,1743206400.0,-0.312104410670465,0.944092333316803,0
41,1744070400.0,-0.445141928863576,0.9060156941413879,0
42,1745193600.0,-0.4381399542218333,0.8669216632843018,0
43,1745798400.0,-0.3937941148241297,0.8237791061401367,0
44,1748649600.0,0.6331621659647977,0.7676761746406555,0
45,1750464000.0,-0.41713403029660523,0.7132624983787537,0
46,1750896000.0,0.48145271539370615,0.7142618894577026,0
47,1752192000.0,-0.4054640725603675,0.7115597724914551,0
48,1754956800.0,-0.3587842416154163,0.7104413509368896,0
49,1755561600.0,1.3333596301390664,0.7068094611167908,0
50,1757289600.0,-0.3937941148241297,0.699586808681488,0
51,1757376000.0,-0.020355467264519714,0.6899267435073853,0
52,1757462400.0,-0.41946802184385285,0.677821934223175,0
53,1757721600.0,0.026324363680431506,0.6608638763427734,0
54,1760918400.0,-0.44864291618444735,0.6375789642333984,0
55,1762819200.0,-0.20707479104432466,0.6172753572463989,0
56,1763164800.0,-0.16039496009937343,0.586286723613739,0
57,1765843200.0,-0.19540483330808692,0.5333382487297058,0
58,1769731200.0,-0.3937941148241297,0.44412145018577576,0
59,1769817600.0,-0.312104410670465,0.44776588678359985,0
60,1770681600.0,-0.445141928863576,0.4623590111732483,0
