index,time,normalized_flux,anomaly_score,is_anomaly
0,1710633600.0,-0.4054640725603675,2.3229711055755615,1
1,1712620800.0,-0.4054640725603675,2.323566198348999,1
2,1714867200.0,-0.3821241570878919,2.3234612941741943,1
3,1715731200.0,-0.41830102607022907,2.3218650817871094,1
4,1715990400.0,-0.3821241570878919,2.312377691268921,1
5,1716508800.0,-0.3237743684067028,2.3049256801605225,1
6,1716768000.0,-0.2304147065168003,2.2998950481414795,1
7,1717200000.0,-0.24208466425303812,2.2965734004974365,1
8,1717372800.0,-0.42413600493834797,2.2885096073150635,1
9,1718668800.0,0.9587539868058325,2.281641721725464,1
10,1719532800.0,-0.3821241570878919,2.2781760692596436,0
11,1720742400.0,-0.2304147065168003,2.275484561920166,0
12,1720828800.0,1.2166600527766882,2.273606061935425,0
13,1721433600.0,5.4178448378223,2.2730791568756104,0
14,1722297600.0,-0.4229690091647242,2.258610486984253,0
15,1724112000.0,-0.312104410670465,2.2449541091918945,0
16,1724544000.0,-0.4264699964855955,2.2331104278564453,0
17,1725408000.0,-0.30043445293422716,2.22243070602417,0
18,1725580800.0,-0.445141928863576,2.2111902236938477,0
19,1727049600.0,-0.3237743684067028,2.2009644508361816,0
20,1727481600.0,-0.16039496009937343,2.1913721561431885,0
21,1728086400.0,-0.4229690091647242,2.183030605316162,0
22,1729555200.0,-0.3587842416154163,2.1749119758605957,0
23,1731196800.0,-0.3237743684067028,2.1676251888275146,0
24,1732838400.0,-0.20123981217620582,2.1607792377471924,0
25,1733011200.0,-0.09037521368194658,2.1544229984283447,0
26,1734652800.0,3.433952022661872,2.1486189365386963,0
27,1735344000.0,-0.4054640725603675,2.1438703536987305,0
28,1736467200.0,-0.4229690091647242,2.1393275260925293,0
29,1736553600.0,-0.41713403029660523,2.1351206302642822,0
30,1738454400.0,-0.3821241570878919,2.1351206302642822,0
31,1738800000.0,-0.44864291618444735,2.1351206302642822,0
32,1738886400.0,-0.4334719711273382,2.128643274307251,0
33,1739318400.0,-0.3821241570878919,2.1216604709625244,0
34,1740182400.0,-0.1837348755718491,2.11419415473938,0
35,1741824000.0,1.5667587848638227,2.106390953063965,0
36,1742256000.0,-0.14872500236313563,2.0996694564819336,0
37,1742515200.0,-0.3821241570878919,2.0926692485809326,0
38,1742774400.0,-0.3471142838791785,2.0849721431732178,0
39,1743033600.0,2.266956249038091,2.0764105319976807,0
40,1743206400.0,-0.312104410670465,2.069382667541504,0
41,1744070400.0,-0.445141928863576,2.0618600845336914,0
42,1745193600.0,-0.4381399542218333,2.0522987842559814,0
43,1745798400.0,-0.3937941148241297,2.0415449142456055,0
44,1748649600.0,0.6331621659647977,2.02921986579895,0
45,1750464000.0,-0.41713403029660523,2.014406681060791,0
46,1750896000.0,0.48145271539370615,2.0116307735443115,0
47,1752192000.0,-0.4054640725603675,2.009596586227417,0
48,1754956800.0,-0.3587842416154163,2.0069804191589355,0
49,1755561600.0,1.3333596301390664,2.0041556358337402,0
50,1757289600.0,-0.3937941148241297,2.003727912902832,0
51,1757376000.0,-0.020355467264519714,2.0034337043762207,0
52,1757462400.0,-0.41946802184385285,2.0038676261901855,0
53,1757721600.0,0.026324363680431506,2.003368616104126,0
54,1760918400.0,-0.44864291618444735,2.004377841949463,0
55,1762819200.0,-0.20707479104432466,2.0051023960113525,0
56,1763164800.0,-0.16039496009937343,2.0068278312683105,0
57,1765843200.0,-0.19540483330808692,2.009655475616455,0
58,1769731200.0,-0.3937941148241297,2.013636827468872,0
59,1769817600.0,-0.312104410670465,2.0126256942749023,0
60,1770681600.0,-0.445141928863576,2.013122320175171,0
